condition,arabinose,timepoint,replicate,LB,Kan
orbit,1,1,1,550000,1800
orbit,1,3,1,2300000,7400
orbit,1,6.5,1,3000000,8600
orbit,1,1,2,470000,2500
orbit,1,3,2,3000000,10600
orbit,1,6.5,2,3800000,9000
orbit,0.1,1,1,400000,1600
orbit,0.1,3,1,NA,NA
orbit,0.1,6.5,1,2300000,5900
orbit,0.1,1,2,570000,1200
orbit,0.1,3,2,NA,NA
orbit,0.1,6.5,2,3200000,6000
pDel_only,1,1,1,NA,NA
pDel_only,1,3,1,2100000,70
pDel_only,1,6.5,1,1800000,44
pDel_only,1,1,2,NA,NA
pDel_only,1,3,2,1400000,50
pDel_only,1,6.5,2,2400000,33
pDel_only,0.1,1,1,NA,NA
pDel_only,0.1,3,1,NA,NA
pDel_only,0.1,6.5,1,3100000,12
pDel_only,0.1,1,2,NA,NA
pDel_only,0.1,3,2,NA,NA
pDel_only,0.1,6.5,2,2500000,9
